,x,y,time,theta
360.0,1174.701416015625,274.5267333984375,12.639296054840088,-0.0915685078659148
361.0,1181.4608154296875,272.3631286621094,12.675006628036499,-0.09319947210530705
362.0,1178.244384765625,268.4214172363281,12.707447052001953,-0.0961715133778934
363.0,1168.5,259.0,12.739644527435303,-0.10327887728576168
364.0,1152.6873779296875,246.13699340820312,12.7748703956604,-0.11299054014052803
365.0,1132.0,230.5,12.807528018951416,-0.12480846219344763
366.0,1107.5,216.5,12.839459896087646,-0.1353996399198869
367.0,1081.6490478515625,200.35093688964844,12.874933958053589,-0.1476280763133112
368.0,1056.7186279296875,181.61387634277344,12.906922817230225,-0.1618304608503032
369.0,1039.0,164.0,12.93930721282959,-0.17519425552621543
370.0,1025.0,149.0,12.975768089294434,-0.18658373173914894
371.0,1011.9776611328125,143.982177734375,13.007197618484497,-0.19039543730481315
372.0,1010.5,143.0,13.039233446121216,-0.19114162650432728
373.0,1027.5,144.5,13.075162887573242,-0.19000204484233296
374.0,1031.5,153.0,13.10777735710144,-0.1835457873561854
375.0,1060.0,171.0,13.142883777618408,-0.16988189413640362
376.0,1091.0797119140625,206.99755859375,13.175548076629639,-0.14259366910552385
377.0,1110.5,224.0,13.206947088241577,-0.12972460595271015
378.0,1143.0,244.0,13.243517637252808,-0.11460485517184257
379.0,1176.5,259.5,13.275383472442627,-0.10290155854151839
380.0,1234.3756103515625,294.8412780761719,13.307542324066162,-0.07626889107092463
381.0,1276.92626953125,326.6437072753906,13.343196630477905,-0.05237069430550115
382.0,1366.3646240234375,345.03399658203125,13.375443696975708,-0.038583082648169065
383.0,1468.4931640625,411.435546875,13.40753960609436,0.010983130791706985
384.0,1599.5,504.5,13.443222999572754,0.0797968352137246
385.0,1765.0,636.0,13.475605487823486,0.1754673815044845
386.0,853.5,410.5,13.507313966751099,0.010287303602508124
387.0,854.5,409.0,13.543421268463135,0.009171497841751641
388.0,846.0,408.0,13.575360298156738,0.00842751949240439
389.0,856.5,409.5,13.6074378490448,0.00954345468762613
390.0,846.5,407.0,13.642801284790039,0.0076834550920530376
391.0,847.5,409.0,13.675246000289917,0.009171497841751641
392.0,853.0,408.5,13.707170248031616,0.008799519435390257
393.0,852.0,410.5,13.74314260482788,0.010287303602508124
394.0,1371.0,-0.5,13.7751624584198,-0.30038099999539114
395.0,850.5,411.0,13.807420492172241,0.010659195623834328
396.0,853.5,411.5,13.843226671218872,0.011031065989311029
397.0,858.5,411.5,13.87555456161499,0.011031065989311029
398.0,849.0,410.5,13.90749716758728,0.010287303602508124
399.0,864.5430297851562,410.5,13.9434335231781,0.010287303602508124
400.0,854.0,413.5,13.974974155426025,0.012518330416479762
401.0,850.5360717773438,410.0,14.010912418365479,0.009915389949160025
402.0,848.0490112304688,411.5,14.042891025543213,0.011031065989311029
403.0,888.6884155273438,411.4420166015625,14.075377941131592,0.010987942485003455
404.0,867.0,411.5,14.111416578292847,0.011031065989311029
405.0,861.5182495117188,412.0,14.14355182647705,0.011402914675119502
406.0,863.0,415.0,14.17497706413269,0.013633550184193877
407.0,863.0,411.0,14.210858821868896,0.010659195623834328
408.0,863.0,410.0,14.242950201034546,0.009915389949160025
409.0,863.0,411.5,14.274989604949951,0.011031065989311029
410.0,860.0,413.5,14.310946702957153,0.012518330416479762
411.0,855.5,414.0,14.343055963516235,0.012890092145603382
412.0,861.5,413.5,14.375038146972656,0.012518330416479762
413.0,859.0,411.0,14.411685705184937,0.010659195623834328
414.0,860.0,415.5,14.443047761917114,0.014005246446137654
415.0,862.0,415.5,14.474973678588867,0.014005246446137654
416.0,842.0,426.0,14.50697922706604,0.02180577950571755
417.0,847.5,435.5,14.542954444885254,0.0288549114429531
418.0,838.5,412.0,14.575045108795166,0.011402914675119502
419.0,816.5,411.0,14.607275247573853,0.010659195623834328
420.0,847.0,408.0,14.643032789230347,0.00842751949240439
421.0,832.3924560546875,410.8008728027344,14.674988269805908,0.010511090585608285
422.0,827.5,604.5,14.70712685585022,0.15273413259476343
423.0,831.0,594.5,14.744269847869873,0.14549196976823175
424.0,832.5,599.0,14.777832984924316,0.14875242521207305
425.0,846.5,425.0,14.807058811187744,0.02106329312167249
426.0,825.5,415.0,14.842963218688965,0.013633550184193877
427.0,828.0,410.5,14.875739812850952,0.010287303602508124
428.0,834.0,414.5,14.907097101211548,0.013261832076096769
429.0,856.0,415.0,14.94298005104065,0.013633550184193877
430.0,844.1906127929688,408.65350341796875,14.974946737289429,0.008913721641068018
431.0,818.9297485351562,627.1397705078125,15.006996393203735,0.16908541908411912
432.0,847.0,446.0,15.043370246887207,0.03663646959750794
433.0,826.5,581.0,15.075532913208008,0.13569620447610653
434.0,825.0287475585938,591.534912109375,15.1069974899292,0.14334231035375822
435.0,823.9632568359375,609.8145751953125,15.142969608306885,0.15657813692256262
436.0,826.5,605.0,15.17566466331482,0.15309592549612938
437.0,833.5,601.0,15.207464694976807,0.15020073922040017
438.0,876.0,414.5,15.243019580841064,0.013261832076096769
439.0,829.5,607.0,15.274915933609009,0.15454279521040004
